date,daily_pnl,daily_volume,daily_trades,sentiment_value,sentiment
2024-06-26,0.0,28494.75,57,46,Neutral
2024-06-27,0.0,129987.36,18,40,Fear
2024-06-28,1649.643372,193337.78,16,47,Neutral
2024-06-29,4500.682773,117069.97,68,30,Fear
2024-06-30,0.0,20715.85,20,47,Neutral
2024-07-01,7487.092424,375469.27,65,53,Neutral
2024-07-02,0.0,44.2,3,51,Neutral
2024-07-03,1118.387284,234622.63999999998,22,50,Neutral
2024-07-04,0.0,375542.38,20,44,Fear
2024-07-05,68.442082,274284.82,52,29,Fear
2024-07-06,101.859038,993.99,14,26,Fear
2024-07-08,231.505974,1738.09,7,28,Fear
2024-07-09,589.872069,1991.95,11,27,Fear
2024-07-10,11805.341276000001,711405.4,58,28,Fear
2024-07-11,3289.126736,183466.43,27,29,Fear
2024-07-12,234.778463,52501.6,11,25,Fear
2024-07-13,2678.839374,138690.01,13,25,Fear
2024-07-14,0.0,84001.13,7,33,Fear
2024-07-15,-1.0,242344.84,34,52,Neutral
2024-07-16,0.0,100000.58,14,65,Greed
2024-07-17,1859.269477,626005.53,351,69,Greed
2024-07-18,3803.884311,649704.85,60,61,Greed
2024-07-19,2155.891114,150269.42,23,60,Greed
2024-07-20,1771.2323,324803.05,430,74,Greed
2024-07-21,-2489.5128210000003,160528.57,294,74,Greed
2024-07-22,80130.195672,522343.71,376,70,Greed
2024-07-23,11333.95961,143724.36,145,71,Greed
2024-07-24,1542.299739,267755.46,114,69,Greed
2024-07-25,0.0,470027.75,57,68,Greed
2024-07-26,9167.136769,1299334.99,193,68,Greed
2024-07-27,0.0,4442.76,6,72,Greed
2024-07-28,587.29903,43254.68,16,71,Greed
2024-07-29,330.80445399999996,327199.14,39,74,Greed
2024-07-30,0.0,76011.61,9,67,Greed
2024-07-31,765.690884,50107.020000000004,46,61,Greed
2024-08-01,721.2005069999999,313696.07,61,52,Neutral
2024-08-02,228.247701,304793.21,53,57,Greed
2024-08-03,464.1897,290532.86,37,37,Fear
2024-08-04,-122672.000883,1207744.07,127,34,Fear
2024-08-05,-13013.665169,480308.32,152,26,Fear
2024-08-06,425.150188,3360.96,53,17,Extreme Fear
2024-08-07,-9.755102,16596.63,21,29,Fear
2024-08-08,6508.8620789999995,317146.52,32,20,Extreme Fear
2024-08-09,11573.209197,187258.33,118,48,Neutral
2024-08-10,0.0,10639.29,85,40,Fear
2024-08-11,1706.44712,90897.66,63,39,Fear
